,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.035,0.071,0.001,0.086,0.024,-0.059,0.067,-0.004,-0.017,0.049,-0.096,-0.074,-0.124,-0.018,0.139,0.06,0.076,-0.074,-0.099,-0.12,-0.053,0.086,0.043,-0.14,-0.033,0.06,-0.057,0.123,-0.084,-0.082,-0.089,-0.074,0.002,-0.124,-0.006,-0.109,0.019,-0.097,-0.024,0.04,-0.045,0.154,0.079,-0.056,0.03,-0.026,0.005,0.085,-0.067,-0.129,-0.084,-0.071,0.149,0.053,0.082,-0.043,-0.104,-0.093,-0.073,0.074,0.055,-0.122,-0.155,0.007,-0.038,0.123,-0.05,-0.175,-0.062,-0.126,0.029,-0.201,-0.093,-0.069,-0.021
ctx-lh-FB,,,-0.053,0.013,0.029,0.137,0.008,0.107,0.012,0.011,0.12,-0.01,-0.047,-0.121,-0.135,0.012,-0.065,0.035,-0.048,-0.089,-0.095,0.011,0.035,-0.041,0.002,-0.004,0.094,-0.014,0.084,-0.076,-0.049,-0.038,0.026,-0.01,-0.026,-0.054,-0.083,0.029,-0.029,-0.035,-0.066,0.072,0.035,0.134,-0.004,0.132,0.066,0.014,0.115,-0.023,-0.085,-0.089,-0.126,0.014,-0.02,0.048,0.017,-0.071,-0.091,-0.03,-0.011,-0.051,-0.032,-0.021,0.055,-0.051,0.076,-0.096,-0.115,-0.054,0.026,-0.04,-0.0,-0.07,-0.123,0.007
ctx-lh-FBA,,,,-0.044,0.075,0.066,-0.005,0.033,0.022,-0.023,0.091,0.031,0.035,-0.008,-0.116,0.058,-0.006,0.036,-0.139,-0.157,-0.206,-0.059,-0.037,-0.076,0.001,0.093,0.031,-0.121,0.085,-0.028,-0.096,-0.046,-0.042,-0.05,-0.014,0.055,-0.025,-0.021,0.034,0.007,0.003,-0.029,0.188,0.114,-0.028,0.069,0.047,-0.035,0.104,0.023,-0.016,-0.037,-0.103,0.118,0.024,0.014,-0.166,-0.188,-0.235,-0.112,-0.06,-0.075,-0.019,0.074,-0.006,-0.049,0.104,-0.087,-0.116,-0.01,-0.003,0.055,-0.034,0.038,-0.005,0.064
ctx-lh-FC,,,,,-0.032,0.037,0.03,0.03,-0.04,0.035,0.043,0.019,0.004,-0.037,-0.045,-0.018,-0.094,-0.016,0.024,0.043,0.039,0.096,0.053,-0.022,0.015,0.001,-0.07,-0.039,-0.046,-0.009,-0.001,0.041,0.08,0.067,0.005,-0.049,-0.052,0.01,0.006,0.019,-0.029,0.196,-0.012,0.004,0.026,0.082,0.112,0.061,0.092,0.038,0.025,0.021,-0.008,-0.042,-0.041,0.023,0.075,0.072,0.078,0.034,0.025,-0.006,-0.002,0.016,0.012,-0.027,-0.02,0.0,-0.002,0.001,0.121,-0.02,0.076,-0.001,-0.062,-0.02
ctx-lh-FCBm,,,,,,0.019,0.002,-0.028,0.117,0.022,0.07,0.014,0.019,-0.004,-0.135,-0.017,-0.001,-0.038,-0.058,-0.044,-0.105,-0.065,-0.057,-0.112,0.063,0.081,0.04,-0.072,0.032,0.027,-0.033,-0.029,0.015,-0.048,0.033,0.024,-0.079,0.012,0.067,0.01,-0.003,-0.042,0.064,0.012,-0.037,0.03,0.092,0.051,0.068,0.038,-0.025,0.057,-0.096,-0.06,-0.005,-0.021,-0.044,-0.035,-0.117,-0.046,-0.015,-0.081,0.072,0.068,0.051,-0.101,-0.02,-0.029,-0.021,0.023,0.023,0.017,0.077,0.047,-0.019,0.01
ctx-lh-FDdelta,,,,,,,0.016,0.028,0.008,0.039,0.072,0.056,0.054,-0.0,0.015,0.055,0.037,0.098,0.007,-0.008,0.048,0.009,-0.101,-0.029,0.067,0.016,0.056,-0.05,0.052,0.07,0.009,0.053,0.123,0.05,0.088,-0.028,0.064,0.076,0.063,0.056,0.083,0.004,-0.037,-0.037,-0.043,0.018,0.032,-0.015,0.093,0.118,0.046,0.099,0.035,0.047,0.064,0.061,0.01,-0.001,0.026,0.028,-0.039,-0.009,0.135,0.096,0.006,-0.057,-0.031,0.034,-0.024,-0.039,0.165,0.096,0.08,-0.039,0.061,0.061
ctx-lh-FDL,,,,,,,,-0.03,0.017,-0.005,-0.05,-0.05,-0.162,-0.141,0.048,0.043,-0.085,-0.159,-0.145,-0.057,-0.002,0.12,0.055,0.041,-0.076,-0.084,-0.094,-0.034,-0.005,-0.057,-0.06,0.091,-0.07,-0.018,-0.038,0.106,0.048,-0.051,-0.082,0.074,0.015,0.093,0.05,-0.013,-0.068,0.017,-0.066,-0.003,0.05,0.029,-0.116,-0.007,0.002,0.044,-0.091,-0.098,-0.094,-0.069,-0.041,0.08,0.044,0.015,-0.196,-0.084,-0.13,-0.072,0.029,-0.089,-0.027,0.08,-0.01,-0.102,-0.022,0.071,0.073,-0.021
ctx-lh-FDm,,,,,,,,,-0.003,-0.027,-0.095,-0.044,-0.055,-0.066,0.007,0.013,0.013,-0.046,-0.009,0.022,0.039,0.131,0.086,0.046,0.138,0.047,0.038,-0.006,-0.008,-0.013,-0.015,0.124,0.004,0.029,-0.004,0.017,0.06,-0.004,0.062,0.064,0.026,0.036,-0.026,-0.022,-0.101,-0.037,-0.023,-0.03,-0.038,0.009,-0.06,-0.002,0.003,-0.023,-0.027,-0.018,-0.027,0.016,0.023,0.1,0.053,0.041,0.032,0.04,0.009,-0.04,-0.056,-0.022,-0.062,0.059,0.092,-0.034,0.011,-0.075,0.075,0.005
ctx-lh-FDp,,,,,,,,,,0.005,0.072,0.0,-0.015,0.022,-0.088,0.069,0.042,-0.007,-0.082,-0.052,-0.021,0.001,-0.056,-0.055,-0.001,0.011,-0.101,-0.047,-0.018,0.002,-0.081,0.035,0.057,0.102,0.002,-0.107,0.033,0.041,-0.001,0.029,0.072,0.048,0.048,-0.073,-0.058,0.033,0.086,0.028,0.068,0.084,-0.046,0.062,-0.038,0.012,0.029,0.0,-0.037,-0.038,0.044,0.061,-0.002,0.004,-0.037,-0.0,-0.017,-0.009,-0.011,0.01,-0.048,0.032,0.082,0.029,0.043,0.0,0.084,0.025
ctx-lh-FE,,,,,,,,,,,-0.005,-0.045,-0.095,-0.021,-0.054,0.077,0.007,-0.058,-0.087,-0.079,-0.078,0.031,0.008,-0.005,-0.017,0.026,0.006,0.026,0.07,-0.044,-0.049,0.073,-0.047,-0.025,-0.025,0.046,0.023,-0.052,-0.02,0.03,-0.051,0.067,0.009,0.004,-0.068,-0.022,0.048,-0.025,0.03,-0.028,-0.098,-0.008,0.012,-0.003,0.006,-0.05,-0.06,-0.051,-0.019,0.082,0.017,0.005,-0.079,-0.066,-0.003,0.027,0.049,-0.052,-0.0,-0.001,-0.002,-0.027,-0.029,0.091,0.044,-0.068
ctx-lh-FF,,,,,,,,,,,,-0.094,-0.073,0.018,-0.039,0.11,0.056,-0.079,-0.132,-0.105,-0.092,-0.079,-0.09,-0.072,-0.037,0.053,0.055,-0.012,0.044,-0.022,-0.067,-0.048,-0.016,0.014,-0.078,0.075,0.007,-0.004,-0.012,0.11,0.046,0.048,0.094,-0.046,-0.086,-0.026,0.005,-0.001,0.088,-0.004,-0.096,-0.004,0.013,0.023,0.048,-0.049,-0.064,-0.062,-0.053,-0.035,-0.063,-0.043,-0.098,0.008,0.038,-0.02,0.04,0.003,0.021,-0.056,0.06,0.002,0.006,0.084,0.034,-0.007
ctx-lh-FG,,,,,,,,,,,,,-0.124,-0.061,0.011,0.004,0.001,-0.128,-0.067,-0.02,0.004,0.032,-0.004,-0.017,-0.139,-0.002,-0.017,0.084,0.048,-0.104,-0.004,0.053,-0.075,0.013,-0.025,0.087,0.009,-0.034,-0.144,0.002,-0.11,0.072,0.087,-0.032,-0.115,-0.045,0.028,-0.067,-0.015,-0.049,-0.092,-0.104,-0.019,-0.02,-0.096,-0.067,-0.02,-0.021,-0.017,0.023,-0.02,-0.005,-0.267,-0.156,-0.066,0.027,0.028,-0.094,0.068,0.038,-0.029,-0.053,0.007,0.069,0.048,-0.045
ctx-lh-FH,,,,,,,,,,,,,,-0.038,0.032,0.097,0.083,-0.085,-0.063,-0.032,-0.011,0.033,-0.006,0.001,-0.082,-0.004,0.013,0.091,0.051,-0.102,-0.042,0.013,-0.011,0.154,-0.13,0.064,-0.005,-0.09,-0.087,0.011,-0.015,0.091,0.09,0.033,-0.123,0.015,-0.014,-0.041,0.036,0.064,-0.001,-0.048,0.008,0.118,0.008,0.026,-0.033,-0.026,-0.004,0.003,-0.003,-0.051,-0.147,-0.048,-0.005,0.054,0.119,-0.014,0.001,-0.021,0.057,0.026,-0.04,0.013,0.036,0.015
ctx-lh-FL,,,,,,,,,,,,,,,0.051,0.063,0.027,-0.107,-0.018,-0.031,-0.002,-0.004,0.016,-0.031,-0.03,-0.02,-0.008,0.052,0.076,-0.075,0.016,-0.009,-0.003,0.141,-0.069,0.084,-0.019,0.011,-0.112,-0.004,0.024,0.069,0.09,-0.046,-0.093,0.007,-0.054,0.0,0.041,0.043,0.004,0.036,0.037,0.08,0.059,-0.05,0.003,-0.031,-0.025,-0.022,0.0,-0.043,-0.147,-0.097,-0.006,0.048,0.09,0.038,0.072,-0.004,0.032,0.046,0.001,0.029,0.009,0.024
ctx-lh-H,,,,,,,,,,,,,,,,-0.111,-0.046,-0.046,0.096,0.025,0.06,0.107,0.089,0.052,0.09,0.044,0.026,0.044,-0.163,-0.004,0.017,0.101,0.044,-0.075,-0.076,-0.029,0.041,-0.096,-0.081,-0.08,-0.069,0.021,-0.079,0.032,0.159,-0.003,-0.013,-0.025,-0.098,-0.033,0.141,-0.016,0.059,-0.079,-0.023,-0.018,0.088,0.08,0.151,0.08,0.076,0.047,-0.019,-0.018,0.074,0.105,-0.051,0.028,0.078,0.139,-0.043,0.016,-0.009,-0.007,0.04,-0.075
ctx-lh-IA,,,,,,,,,,,,,,,,,-0.08,0.008,-0.089,-0.122,-0.184,-0.015,-0.068,-0.126,0.117,0.105,0.029,-0.129,0.005,0.009,-0.05,0.024,0.037,-0.082,0.017,0.035,-0.016,0.049,0.085,-0.007,0.011,-0.031,-0.02,0.08,0.026,0.03,0.124,0.071,0.111,0.013,0.108,0.171,-0.101,0.018,0.025,-0.009,-0.09,-0.12,-0.175,-0.084,-0.107,-0.151,0.143,0.145,0.041,-0.09,0.003,-0.022,-0.025,0.001,0.055,0.101,0.045,0.043,-0.019,0.091
ctx-lh-IB,,,,,,,,,,,,,,,,,,-0.041,-0.086,-0.085,-0.151,0.019,0.003,-0.08,-0.002,0.045,0.05,-0.11,0.043,-0.006,-0.028,0.056,-0.034,-0.085,0.033,0.101,0.041,0.046,0.047,-0.007,-0.073,-0.064,0.068,0.099,-0.032,0.0,0.099,-0.026,0.069,0.041,0.055,0.048,-0.12,0.038,-0.043,-0.09,-0.135,-0.062,-0.19,-0.066,-0.062,-0.057,0.052,0.078,0.031,0.002,0.061,-0.033,0.005,0.061,-0.053,-0.02,-0.021,0.116,-0.019,0.082
ctx-lh-LA,,,,,,,,,,,,,,,,,,,-0.152,-0.152,-0.147,0.105,0.002,-0.09,0.137,0.038,0.08,-0.051,0.026,-0.002,-0.119,0.072,-0.012,0.012,-0.066,0.026,0.068,-0.067,0.053,0.096,0.039,0.052,0.081,0.084,-0.108,0.103,0.006,-0.041,0.07,-0.062,-0.063,-0.009,-0.083,0.092,-0.029,0.016,-0.122,-0.165,-0.17,0.063,-0.041,-0.073,0.106,0.018,0.04,-0.045,0.109,-0.008,-0.08,0.051,0.095,-0.024,0.004,0.044,0.067,-0.041
ctx-lh-LC1,,,,,,,,,,,,,,,,,,,,0.059,0.045,0.062,0.003,-0.032,-0.053,-0.044,-0.032,0.002,-0.176,-0.087,-0.005,0.003,-0.04,-0.008,-0.058,-0.034,-0.02,-0.06,-0.061,-0.06,-0.062,0.109,-0.053,-0.004,0.059,-0.019,0.021,0.029,-0.041,-0.014,0.058,-0.053,0.072,-0.046,-0.083,-0.102,0.051,0.124,0.107,0.062,0.008,-0.053,-0.036,-0.045,0.008,-0.007,-0.02,-0.022,0.068,0.069,0.012,-0.033,0.019,0.034,0.056,-0.033
ctx-lh-LC2,,,,,,,,,,,,,,,,,,,,,0.009,0.028,-0.007,-0.052,-0.04,-0.045,0.021,0.007,-0.12,-0.1,0.08,-0.029,0.019,0.002,0.0,-0.039,-0.034,-0.009,-0.108,-0.116,-0.079,0.092,-0.034,-0.019,0.037,-0.032,0.03,-0.016,-0.041,0.021,0.064,-0.051,0.034,-0.108,-0.088,-0.134,0.023,0.012,0.04,0.065,-0.006,-0.057,-0.035,-0.042,0.024,-0.023,0.02,-0.028,0.135,0.036,0.028,-0.034,0.069,0.042,0.064,0.015
ctx-lh-LE,,,,,,,,,,,,,,,,,,,,,,0.072,0.017,-0.043,-0.092,-0.087,-0.023,-0.004,-0.124,-0.148,0.083,-0.001,-0.078,-0.046,-0.054,0.019,-0.056,-0.082,-0.131,-0.117,-0.16,0.122,-0.083,0.077,0.078,-0.003,0.022,0.016,-0.039,0.052,0.09,-0.02,0.027,-0.097,-0.149,-0.075,0.038,0.085,0.083,0.059,0.061,-0.027,-0.116,-0.13,0.006,0.017,0.006,-0.1,0.175,0.096,-0.096,-0.122,-0.029,0.036,0.02,-0.084
ctx-lh-OA,,,,,,,,,,,,,,,,,,,,,,,0.079,0.145,-0.017,-0.063,-0.051,-0.039,0.048,-0.036,0.039,-0.023,-0.095,-0.038,-0.01,0.021,0.011,-0.065,-0.058,-0.019,-0.004,0.039,-0.03,0.059,0.156,0.049,-0.037,0.046,-0.069,-0.01,0.054,-0.003,0.027,-0.037,-0.006,0.136,0.055,0.076,0.022,-0.025,0.099,0.134,0.001,-0.109,-0.039,0.065,0.015,-0.032,0.075,-0.08,-0.12,-0.05,-0.112,-0.055,-0.065,-0.08
